TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
99598321,-1962.0,-1033.7889928817751,926,100
99696370,-1964.0,-1036.6814291477206,926,100
99799343,-1966.0,-1039.8726407585145,929,100
99894645,-1968.0,-1042.8270060119628,930,100
100000330,-1970.0,-1046.1387109955747,926,100
100199506,-1972.0,-1052.5497088432314,920,100
100294284,-1973.9999999999998,-1055.6774005889895,920,100
100390865,-1976.0000000000002,-1058.957438850403,909,100
100400343,-1978.0,-1059.2796680450438,914,100
100598497,-1980.0,-1066.0671722202303,917,100
100697155,-1982.0,-1069.4708761482239,914,100
100799141,-1984.0,-1072.8544409018662,912,100
100897108,-1986.0,-1076.1034759521483,917,100
100998811,-1988.0,-1079.3579528808593,913,100
101096722,-1989.9999999999998,-1082.4911163330078,903,100
101200450,-1992.0000000000002,-1085.6035118103027,904,100
101398347,-1994.0000000000002,-1091.4390787124635,893,100
101492533,-1996.0,-1094.1704815864564,896,100
101598484,-2000.0,-1096.9893490791324,901,100
101694915,-2000.0,-1099.544764709473,897,100
101799334,-2000.0,-1102.209534013748,898,100
101894589,-2000.0,-1104.638533914566,888,100
101999574,-2000.0,-1107.0985197399386,896,100
102095666,-2000.0,-1109.3454411938417,889,100
102200270,-2000.0,-1111.7010799884797,890,100
102399351,-2000.0,-1115.92703666687,889,100
102496645,-2000.0,-1117.8729042053221,880,100
102592784,-2000.0,-1119.7008991241453,867,100
102599742,-2000.0,-1119.8331035194399,882,100
102798708,-2000.0,-1123.268818568704,883,100
102894117,-2000.0,-1124.7550955499237,882,100
102998459,-2000.0,-1126.0682390213012,881,100
103198540,-2000.0,-1128.1630956172944,875,100
103296220,-2000.0,-1128.9933723449708,875,100
103399684,-2000.0,-1129.8214790344239,877,100
103500540,-2000.0,-1130.6000000000001,872,100
103596005,-2000.0,-1130.6000000000001,875,100
103597005,-2000.0,-1131.1500297718048,874,100
103598005,-2000.0,-1131.155529771805,873,100
103599484,-2000.0,-1131.1636663913728,867,100
103798682,-2000.0,-1132.1067291259765,863,100
103895233,-2000.0,-1132.4929328918458,863,100
104001162,-2000.0,-1132.6562442913055,870,100
104199665,-2000.0,-1132.5956913127234,871,100
104297889,-2000.0,-1132.4002193925392,862,100
104399883,-2000.0,-1131.9415220737458,875,100
104601497,-2000.0,-1131.0342607975006,857,100
104698413,-2000.0,-1130.5973134040833,864,100
104798665,-2000.0,-1129.945676750183,866,100
104894400,-2000.0,-1129.3233956756592,858,100
104999330,-2000.0,-1128.4852839944351,867,100
105200222,-2000.0,-1126.667770576477,871,100
105298438,-2000.0,-1125.6841710090637,878,100
105398338,-2000.0,-1124.5852714538573,867,100
105493662,-2000.0,-1123.5367122650146,873,100
105599257,-2000.0,-1122.1706544876097,879,100
105798489,-2000.0,-1119.5806408882142,885,100
105893168,-2000.0,-1118.3498030662538,878,100
105999343,-2000.0,-1116.9183661212921,886,100
106093435,-2000.0,-1115.6481255760195,888,100
106199643,-2000.0,-1114.3744040873512,887,100
106294945,-2000.0,-1113.2364685058592,884,100
106400291,-2000.0,-1111.9213540077212,893,100
106495782,-2000.0,-1110.7277173519137,893,100
106599553,-2000.0,-1109.5829111099245,896,100
106697666,-2000.0,-1108.5036674499513,901,100
106799394,-2000.0,-1107.5367505760194,893,100
106998429,-2000.0,-1105.8429968771622,893,100
107094598,-2000.0,-1105.1181049557788,892,100
107189196,-2000.0,-1104.5007236003876,888,100
107199343,-2000.0,-1104.4347693443299,896,100
107398330,-2000.0,-1103.3946784973145,895,100
107493495,-2000.0,-1103.014019393921,890,100
107598368,-2000.0,-1102.7972620010376,900,100
107694928,-2000.0,-1102.6041429519653,899,100
107798373,-2000.0,-1102.6,900,100
107998510,-2000.0,-1102.8030212402343,898,100
108093327,-2000.0,-1102.9926555633544,893,100
108199450,-2000.0,-1103.2049010772705,892,100
108293598,-2000.0,-1103.3931964416504,892,100
108399480,-2000.0,-1103.7059121772425,894,100
108494950,-2000.0,-1103.9908956840857,902,100
108599338,-2000.0,-1104.405355834961,894,100
108695495,-2000.0,-1104.789980316162,905,100
108799720,-2000.0,-1105.3086045265197,895,100
108895701,-2000.0,-1105.7885053634643,900,100
108999295,-2000.0,-1106.3571278400423,894,100
109198514,-2000.0,-1107.4556100644058,895,100
109293452,-2000.0,-1107.9803892451914,900,100
109389024,-2000.0,-1108.506135892868,896,100
109399291,-2000.0,-1108.5626042366027,892,100
109598338,-2000.0,-1109.6573642730714,886,100
109694246,-2000.0,-1110.1848539352418,891,100
109798360,-2000.0,-1110.8588427066802,884,100
109893739,-2000.0,-1111.4788084983825,881,100
109998347,-2000.0,-1112.2601065635681,878,100
110199484,-2000.0,-1113.8198789672851,879,100
110295460,-2000.0,-1114.5876859741213,883,100
110390333,-2000.0,-1115.2036507848484,882,100
